NHKでのコード,中分類,大分類コード,中分類コード
0000,定時・総合,0,0
0001,天気,0,1
0002,特集・ドキュメント,0,2
0003,政治・国会,0,3
0004,経済・市況,0,4
0005,海外・国際,0,5
0006,解説,0,6
0007,討論・会談,0,7
0008,報道特番,0,8
0009,ローカル・地域,0,9
0010,交通,0,10
0015,その他,0,15
0100,スポーツニュース,1,0
0101,野球,1,1
0102,サッカー,1,2
0103,ゴルフ,1,3
0104,その他の球技,1,4
0105,相撲・格闘技,1,5
0106,オリンピック・国際大会,1,6
0107,マラソン・陸上・水泳,1,7
0108,モータースポーツ,1,8
0109,マリン・ウィンタースポーツ,1,9
0110,競馬・公営競技,1,10
0115,その他,1,15
0200,芸能・ワイドショー,2,0
0201,ファッション,2,1
0202,暮らし・住まい,2,2
0203,健康・医療,2,3
0204,ショッピング・通販,2,4
0205,グルメ・料理,2,5
0206,イベント,2,6
0207,番組紹介・お知らせ,2,7
0215,その他,2,15
0300,国内ドラマ,3,0
0301,海外ドラマ,3,1
0302,時代劇,3,2
0315,その他,3,15
0400,国内ロック・ポップス,4,0
0401,海外ロック・ポップス,4,1
0402,クラシック・オペラ,4,2
0403,ジャズ・フュージョン,4,3
0404,歌謡曲・演歌,4,4
0405,ライブ・コンサート,4,5
0406,ランキング・リクエスト,4,6
0407,カラオケ・のと゛自慢,4,7
0408,民謡・邦楽,4,8
0409,童謡・キッズ,4,9
0410,民族音楽・ワールドミュージック,4,10
0415,その他,4,15
0500,クイズ,5,0
0501,ゲーム,5,1
0502,トークバラエティ,5,2
0503,お笑い・コメディ,5,3
0504,音楽バラエティ,5,4
0505,旅バラエティ,5,5
0506,料理バラエティ,5,6
0515,その他,5,15
0600,洋画,6,0
0601,邦画,6,1
0602,アニメ,6,2
0615,その他,6,15
0700,国内アニメ,7,0
0701,海外アニメ,7,1
0702,特撮,7,2
0715,その他,7,15
0800,社会・時事,8,0
0801,歴史・紀行,8,1
0802,自然・動物・環境,8,2
0803,宇宙・科学・医学,8,3
0804,カルチャー・伝統文化,8,4
0805,文学・文芸,8,5
0806,スポーツ,8,6
0807,ドキュメンタリー全般,8,7
0808,インタビュー・討論,8,8
0815,その他,8,15
0900,現代劇・新劇,9,0
0901,ミュージカル,9,1
0902,ダンス・バレエ,9,2
0903,落語・演芸,9,3
0904,歌舞伎・古典,9,4
0915,その他,9,15
1000,旅・釣り・アウトドア,10,0
1001,園芸・ペット・手芸,10,1
1002,音楽・美術・工芸,10,2
1003,囲碁・将棋,10,3
1004,麻雀・パチンコ,10,4
1005,車・オートバイ,10,5
1006,コンピュータ・TVゲーム,10,6
1007,会話・語学,10,7
1008,幼児・小学生,10,8
1009,中学生・高校生,10,9
1010,大学生・受験,10,10
1011,生涯教育・資格,10,11
1012,教育問題,10,12
1015,その他,10,15
1100,高齢者,11,0
1101,障害者,11,1
1102,社会福祉,11,2
1103,ボランティア,11,3
1104,手話,11,4
1105,文字(字幕),11,5
1106,音声解説,11,6
1115,その他,11,15
1400,BS/地上テﾞシﾞタル放送用番組付属情報,14,0
1401,広帯域 CS テﾞシﾞタル放送用拡張,14,1
1403,サーハﾞー型番組付属情報,14,3
1404,IP 放送用番組付属情報,14,4
1515,その他,15,15
